sample_id,run,year,treatment,total_thi,prop.mort,prop.surv,num.mort,num.surv,obs.tdc,Grp_Num
80170,winter,2020,thiamine,38.3,0,1,0,147,n,1
80176,winter,2020,thiamine,39.6,0,1,0,152,n,1
80322,winter,2020,saline,5.4,0,1,1,149,n,1
80416,winter,2020,thiamine,27.5,0,1,0,146,n,1
80168,winter,2020,thiamine,35.3,0,1,0,121,n,1
80413,winter,2020,saline,25.1,0,1,1,124,n,1
80257,winter,2020,thiamine,30.4,0,1,0,109,n,1
80417,winter,2020,thiamine,36.3,0,1,0,135,n,1
80329,winter,2020,saline,5.6,0,1,0,135,n,1
80305,winter,2020,saline,3,0.806,0.194,104,25,y,1
80024,winter,2020,thiamine,30.5,0,1,0,132,n,1
80263,winter,2020,thiamine,31.5,0,1,0,140,n,1
80144,winter,2020,thiamine,41.3,0,1,0,127,n,1
80336,winter,2020,saline,4.5,0,1,0,152,n,1
80162,winter,2020,saline,10.6,0,1,0,152,n,1
80390,winter,2020,thiamine,24.1,0,1,0,150,n,1
80446,winter,2020,thiamine,32.1,0,1,0,134,n,1
80212,winter,2020,saline,3.4,0.511,0.489,66,65,y,1
80410,winter,2020,saline,3.8,0.12,0.88,15,110,y,1
80429,winter,2020,saline,4.1,0,1,0,129,n,1
80448,winter,2020,thiamine,34.4,0,1,0,129,n,1
80488,winter,2020,thiamine,31.1,0,1,0,126,n,1
80074,winter,2020,thiamine,35.5,0,1,0,128,n,1
80177,winter,2020,thiamine,45.4,0,1,0,105,n,1
80272,winter,2020,saline,3.4,1,0,114,12,y,1
80143,winter,2020,saline,5.3,0.073,0.927,2,121,y,1
80494,winter,2020,thiamine,53.8,0,1,0,96,n,1
80435,winter,2020,thiamine,34.7,0,1,0,128,n,1
80479,winter,2020,thiamine,34.2,0,1,0,111,n,1
80418,winter,2020,saline,4.7,0,1,1,131,n,1
80362,winter,2020,thiamine,36.4,0,1,0,127,n,1
80432,winter,2020,saline,4.1,0.375,0.625,46,82,y,1
80423,winter,2020,saline,2.7,0.076,0.924,19,99,y,1
80337,winter,2020,thiamine,30.7,0,1,0,128,n,1
80258,winter,2020,thiamine,33.4,0,1,0,135,n,1
80251,winter,2020,saline,3.5,0.148,0.852,14,114,y,1
80411,winter,2020,thiamine,32.9,0,1,0,133,n,1
80304,winter,2020,saline,3.6,0.023,0.977,6,124,y,1
80174,winter,2020,saline,5.2,0.017,0.983,3,115,n,1
80325,winter,2020,thiamine,40,0,1,0,91,n,1
80339,winter,2020,thiamine,29.5,0,1,0,90,n,1
80326,winter,2020,thiamine,26.2,0,1,0,109,n,1
80332,winter,2020,saline,4.3,0,1,3,126,n,1
80328,winter,2020,thiamine,27.1,0,1,0,124,n,1
80259,winter,2020,saline,4,0.466,0.534,55,76,y,1
80311,winter,2020,thiamine,54.6,0,1,0,124,n,1
80395,winter,2020,thiamine,25.6,0,1,0,95,n,1
80401,winter,2020,thiamine,39.8,0,1,0,129,n,1
80404,winter,2020,saline,3.1,0.085,0.915,7,99,n,1
80394,winter,2020,saline,4.9,0.164,0.836,19,103,y,1
80359,winter,2020,saline,5.3,0,1,0,134,n,1
80433,winter,2020,saline,2.8,0.09,0.91,10,123,n,1
80369,winter,2020,saline,3.5,0.462,0.538,59,71,y,1
80405,winter,2020,saline,3.7,0.119,0.881,16,118,n,1
80421,winter,2020,saline,2.4,0.715,0.285,88,42,y,1
80412,winter,2020,saline,3.9,0.039,0.961,5,124,n,1
80323,winter,2020,saline,2.3,1,0,83,13,y,1
THIFEH21-FR-08,fall,2021,saline,6.3,0.019607843,0.980392157,1,50,y,2
THIFEH21-FR-01,fall,2021,saline,7.9,0,1,0,41,y,2
THIFEH21-FR-09,fall,2021,saline,5.1,0.02,0.98,1,49,n,2
THIFEH21-FR-13,fall,2021,saline,3.5,0,1,0,47,n,2
THIFEH21-FR-18,fall,2021,saline,4.6,0,1,0,44,y,2
THIFEH21-FR-07,fall,2021,saline,15.4,0,1,0,47,y,2
THIFEH21-FR-27,fall,2021,saline,5.5,0.090909091,0.909090909,4,40,y,2
THIFEH21-FR-24,fall,2021,saline,4.6,0,1,0,45,y,2
THIFEH21-FR-17,fall,2021,saline,4.3,0.285714286,0.714285714,10,25,n,2
THIFEH21-FR-03,fall,2021,saline,7.2,0,1,0,35,n,2
THIFEH21-FR-14,fall,2021,saline,5.3,0.76,0.24,38,12,y,2
THICNH22-LF-01,late-fall,2022,saline,4.6,0.1,0.9,20,180,n,3
THICNH22-LF-03,late-fall,2022,saline,5,0.1,0.9,20,180,n,3
THICNH22-LF-04,late-fall,2022,saline,4.9,0.395,0.605,79,121,n,3
THICNH22-LF-05,late-fall,2022,saline,5.1,0.055,0.945,11,189,n,3
THICNH22-LF-06,late-fall,2022,saline,5.1,0.055,0.945,11,189,y,3
THICNH22-LF-07,late-fall,2022,saline,5.5,0.11,0.89,22,178,n,3
THICNH22-LF-08,late-fall,2022,saline,3.3,0.06,0.94,12,188,n,3
THICNH22-LF-09,late-fall,2022,saline,6.8,0.21,0.79,42,158,n,3
THICNH22-LF-10,late-fall,2022,saline,2.9,0.135,0.865,27,173,n,3
THICNH22-LF-11,late-fall,2022,saline,3.8,0.16,0.84,32,168,n,3
THICNH22-LF-13,late-fall,2022,saline,5.5,0.235,0.765,47,153,n,3
THICNH22-LF-14,late-fall,2022,saline,6.3,0.07,0.93,14,186,n,3
THICNH22-LF-15,late-fall,2022,saline,3.4,0.04,0.96,8,192,y,3
THICNH22-LF-16,late-fall,2022,saline,4.2,0.08,0.92,16,184,n,3
THICNH22-LF-17,late-fall,2022,saline,3.8,0.49,0.51,98,102,n,3
THICNH22-LF-18,late-fall,2022,saline,4.9,0.065,0.935,13,187,n,3
THICNH22-LF-19,late-fall,2022,saline,5,0.135,0.865,27,173,y,3
THICNH22-LF-20,late-fall,2022,saline,4.3,0.695,0.305,139,61,n,3
THICNH22-LF-21,late-fall,2022,saline,4,0.625,0.375,125,75,n,3
THICNH22-LF-41,late-fall,2022,saline,5.4,0.13,0.87,26,174,n,3
THICNH22-LF-23,late-fall,2022,saline,3.1,0.045,0.955,9,191,n,3
THICNH22-LF-24,late-fall,2022,saline,5.4,0.105,0.895,21,179,n,3
THICNH22-LF-26,late-fall,2022,saline,6.7,0.085,0.915,17,183,n,3
THICNH22-LF-27,late-fall,2022,saline,5.9,0.08,0.92,16,184,n,3
THICNH22-LF-28,late-fall,2022,saline,4.4,0.085,0.915,17,183,n,3
THICNH22-LF-29,late-fall,2022,saline,4.1,0.1,0.9,20,180,n,3
THICNH22-LF-30,late-fall,2022,saline,3.3,0.04,0.96,8,192,y,3
THICNH22-LF-31,late-fall,2022,saline,4.9,0.06,0.94,12,188,y,3
THICNH22-LF-32,late-fall,2022,saline,4.1,0.01,0.99,2,198,n,3
THICNH22-LF-33,late-fall,2022,saline,5.5,0.055,0.945,11,189,n,3
THICNH22-LF-34,late-fall,2022,saline,4,0.11,0.89,22,178,y,3
THICNH22-LF-35,late-fall,2022,saline,5.4,0.115,0.885,23,177,n,3
THICNH22-LF-36,late-fall,2022,saline,5.8,0.22,0.78,44,156,n,3
THICNH22-LF-37,late-fall,2022,saline,5.6,0.065,0.935,13,187,n,3
THICNH22-LF-38,late-fall,2022,saline,5.4,0.075,0.925,15,185,n,3
THICNH22-LF-39,late-fall,2022,saline,8.6,0.065,0.935,13,187,n,3
THICNH22-LF-40,late-fall,2022,saline,3.6,0.075,0.925,15,185,n,3
THIFEH21-SR-01,spring,2021,saline,7.3,0.643,0.357,643,357,n,4
THIFEH21-SR-02,spring,2021,saline,22.3,0.077,0.923,77,923,n,4
THIFEH21-SR-03,spring,2021,saline,16.1,0.83,0.17,830,170,n,4
THIFEH21-SR-04,spring,2021,saline,7.7,1,0,1047,0,y,4
THIFEH21-SR-05,spring,2021,saline,7.3,0.508,0.492,508,492,n,4
THIFEH21-SR-06,spring,2021,saline,10,0.169,0.831,169,831,n,4
THIFEH21-SR-07,spring,2021,saline,7.4,0.249,0.751,249,751,n,4
THIFEH21-SR-08,spring,2021,saline,15.2,0.187,0.813,187,813,n,4
THIFEH21-SR-09,spring,2021,saline,4.9,0.753,0.247,753,247,n,4
THIFEH21-SR-10,spring,2021,saline,15.5,0.332,0.668,332,668,n,4
THIFEH21-SR-11,spring,2021,saline,10.7,0.093,0.907,93,907,n,4
THIFEH21-SR-12,spring,2021,saline,18.9,1,0,1094,0,n,4
THIFEH21-SR-13,spring,2021,saline,9.1,0.079,0.921,79,921,n,4
THIFEH21-SR-14,spring,2021,saline,7,0.287,0.713,287,713,n,4
THIFEH21-SR-15,spring,2021,saline,5.8,0.659,0.341,659,341,n,4
THIFEH21-SR-16,spring,2021,saline,16.4,0.657,0.343,657,343,n,4
THIFEH21-SR-17,spring,2021,saline,13.1,0.064,0.936,64,936,n,4
THIFEH21-SR-18,spring,2021,saline,9.6,0.216,0.784,216,784,n,4
THIFEH21-SR-19,spring,2021,saline,6,0.92,0.08,920,80,n,4
