Study_Date,Location,Species,Run,Tissue,Thiamin_conc,Thiamine_units,N,N_survive,N_mortality,Percent_survive,Percent_mortality,Time_of_mortality,Follow_up_period,Time_Units,Reported_LC50,Reported_EC50,Title,DOI,Notes,location_type,Latitude_DD,Longitude_DD,Location_label,Species_label,Run_label,Tissue_label,Title_label,Study_Date_start_label,Study_Date_end_label
1994-2010,Finland,Atlantic salmon,NA,egg,0.06595,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,Estimated LC100 = 0.22; From figure 7,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.07676,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.08991,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.09457,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.10203,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.11505,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.1265,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.1339,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.23506,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
1994-2010,Finland,Atlantic salmon,NA,egg,0.25844,nmol/g,984,NA,NA,NA,100,NA,NA,NA,0.47,NA,Model for estimating thiamine deficiency-related mortality of Atlantic salmon (Salmo salar) offspring and variation in the Baltic salmon M74 syndrome,https://doi.org/10.1080/10236244.2021.1941942,NA,approximated,63.2467777,25.9209164,FINLAND,ATLANTIC SALMON,MISSING,EGG,MODEL FOR ESTIMATING THIAMINE DEFICIENCY-RELATED MORTALITY OF ATLANTIC SALMON (SALMO SALAR) OFFSPRING AND VARIATION IN THE BALTIC SALMON M74 SYNDROME,1994-01-01,2010-12-31
