en,fi
Welcome!,Tervetuloa!
Data,Data
About,Tietoja
Visualize,Visualisoi
Help,Ohje
Filter data,Suodata dataa
Species,Laji
Collection Location,Keräyspaikka
Run,Kausi
Tissue,Kudos
Show unpublished data,Näytä julkaisemattomat tiedot
Datasets,Aineistot
Data Collection Locations,Keräyspaikat
Visualize your own data,Visualisoi oma data
Select a species,Valitse laji
Thiamine Concentration (nmol/g),Tiamiinipitoisuus (nmol/g)
(Optional) % Survived,(Valinnainen) % Selviytyi
Thiamine Concentration vs. % Survived,Tiamiinipitoisuus vs. % Selviytyi
Download table to CSV,Lataa taulukko CSV-muodossa
Add data,Lisää dataa
Download Data,Lataa dataa
