en,sv
Welcome!,Välkommen!
Data,Data
About,Om appen
Visualize,Visualisera
Help,Hjälp
Filter data,Filtrera data
Species,Art
Collection Location,Insamlingsplats
Run,Säsong
Tissue,Vävnad
Show unpublished data,Visa opublicerade data
Datasets,Datamängder
Data Collection Locations,Insamlingsplatser
Visualize your own data,Visualisera din egen data
Select a species,Välj en art
Thiamine Concentration (nmol/g),Tiaminkoncentration (nmol/g)
(Optional) % Survived,(Valfritt) % Överlevde
Thiamine Concentration vs. % Survived,Tiaminkoncentration vs. % Överlevde
Download table to CSV,Ladda ner tabell som CSV
Add data,Lägg till data
Download Data,Ladda ner data
